cartodb_id,the_geom,year,value,domain,data_item,county,state
231,,2007,"157,761",TOTAL,FARM OPERATIONS - ACRES OPERATED,CALLOWAY,KENTUCKY
232,,2007,"95,713",TOTAL,FARM OPERATIONS - ACRES OPERATED,CARLISLE,KENTUCKY
234,,2007,"277,881",TOTAL,FARM OPERATIONS - ACRES OPERATED,GRAVES,KENTUCKY
235,,2007,"129,752",TOTAL,FARM OPERATIONS - ACRES OPERATED,HICKMAN,KENTUCKY
236,,2007,"117,011",TOTAL,FARM OPERATIONS - ACRES OPERATED,LIVINGSTON,KENTUCKY
237,,2007,"54,152",TOTAL,FARM OPERATIONS - ACRES OPERATED,LYON,KENTUCKY
238,,2007,"97,712",TOTAL,FARM OPERATIONS - ACRES OPERATED,MARSHALL,KENTUCKY
239,,2007,"75,341",TOTAL,FARM OPERATIONS - ACRES OPERATED,MCCRACKEN,KENTUCKY
240,,2007,"135,685",TOTAL,FARM OPERATIONS - ACRES OPERATED,TRIGG,KENTUCKY
241,,2002,"83,857",TOTAL,FARM OPERATIONS - ACRES OPERATED,ANDERSON,KENTUCKY
242,,2002,"107,574",TOTAL,FARM OPERATIONS - ACRES OPERATED,BATH,KENTUCKY
243,,2002,"184,580",TOTAL,FARM OPERATIONS - ACRES OPERATED,BOURBON,KENTUCKY
244,,2002,"98,617",TOTAL,FARM OPERATIONS - ACRES OPERATED,BOYLE,KENTUCKY
245,,2002,"143,171",TOTAL,FARM OPERATIONS - ACRES OPERATED,CLARK,KENTUCKY
246,,2002,"119,098",TOTAL,FARM OPERATIONS - ACRES OPERATED,FAYETTE,KENTUCKY
247,,2002,"183,585",TOTAL,FARM OPERATIONS - ACRES OPERATED,FLEMING,KENTUCKY
249,,2002,"120,022",TOTAL,FARM OPERATIONS - ACRES OPERATED,GARRARD,KENTUCKY
250,,2002,"158,980",TOTAL,FARM OPERATIONS - ACRES OPERATED,HARRISON,KENTUCKY
251,,2002,"82,328",TOTAL,FARM OPERATIONS - ACRES OPERATED,JESSAMINE,KENTUCKY
252,,2002,"171,276",TOTAL,FARM OPERATIONS - ACRES OPERATED,LINCOLN,KENTUCKY
253,,2002,"218,304",TOTAL,FARM OPERATIONS - ACRES OPERATED,MADISON,KENTUCKY
254,,2002,"128,123",TOTAL,FARM OPERATIONS - ACRES OPERATED,MASON,KENTUCKY
255,,2002,"133,692",TOTAL,FARM OPERATIONS - ACRES OPERATED,MERCER,KENTUCKY
256,,2002,"90,951",TOTAL,FARM OPERATIONS - ACRES OPERATED,MONTGOMERY,KENTUCKY
257,,2002,"105,524",TOTAL,FARM OPERATIONS - ACRES OPERATED,NICHOLAS,KENTUCKY
258,,2002,"43,061",TOTAL,FARM OPERATIONS - ACRES OPERATED,ROBERTSON,KENTUCKY
259,,2002,"137,356",TOTAL,FARM OPERATIONS - ACRES OPERATED,SCOTT,KENTUCKY
260,,2002,"201,667",TOTAL,FARM OPERATIONS - ACRES OPERATED,SHELBY,KENTUCKY
261,,2002,"77,525",TOTAL,FARM OPERATIONS - ACRES OPERATED,SPENCER,KENTUCKY
262,,2002,"149,739",TOTAL,FARM OPERATIONS - ACRES OPERATED,WASHINGTON,KENTUCKY
263,,2002,"123,070",TOTAL,FARM OPERATIONS - ACRES OPERATED,WOODFORD,KENTUCKY
264,,2002,"170,407",TOTAL,FARM OPERATIONS - ACRES OPERATED,ADAIR,KENTUCKY
266,,2002,"240,440",TOTAL,FARM OPERATIONS - ACRES OPERATED,BARREN,KENTUCKY
267,,2002,"276,456",TOTAL,FARM OPERATIONS - ACRES OPERATED,BRECKINRIDGE,KENTUCKY
268,,2002,"61,342",TOTAL,FARM OPERATIONS - ACRES OPERATED,BULLITT,KENTUCKY
270,,2002,"190,585",TOTAL,FARM OPERATIONS - ACRES OPERATED,CASEY,KENTUCKY
